round,generation,solution_index,bitstring,objective_1,objective_2,objective_3,num_selected,selected_client_ids,num_available_selected,available_selected_client_ids,num_unavailable_selected,unavailable_selected_client_ids,mean_selected_client_accuracy,selected_client_accuracy_variance,selected_client_accuracy_std,inverse_accuracy_variance,mean_selected_utility,selected_utility_variance,selected_utility_std,mean_available_selected_utility,available_selected_utility_variance,available_selected_utility_std
0,3,7,100000010110000011001111100111,0.5524383473544704,0.3244955949485302,0.7490000128746033,14,"[0, 7, 9, 10, 16, 17, 20, 21, 22, 23, 24, 27, 28, 29]",10,"[0, 10, 16, 17, 20, 21, 23, 27, 28, 29]",4,"[7, 9, 22, 24]",0.2724327216190951,0.025552321720981312,0.15985093594027316,39.135387027429616,0.3376075512705044,0.08216980758862358,0.28665276483687296,0.4475616526455296,0.07228847223646351,0.2688651562334984
0,3,8,111101111100110000101001100010,0.3568483577046835,0.4733551832345816,0.609499990940094,16,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 12, 13, 18, 20, 23, 24, 28]",13,"[0, 1, 2, 3, 5, 6, 8, 12, 13, 18, 20, 23, 28]",3,"[7, 9, 24]",0.4188330725301057,0.04645752840168802,0.21554008537088412,21.52503661739494,0.5325409023826368,0.10561421415031225,0.32498340596146175,0.6431516422953165,0.06448371169516719,0.2539364323904059
0,3,9,011010110001111101011011000101,0.39711627216174017,0.3930763696630796,0.62049999833107,17,"[1, 2, 4, 6, 7, 11, 12, 13, 14, 15, 17, 19, 20, 22, 23, 27, 29]",15,"[1, 2, 4, 6, 11, 12, 13, 14, 15, 17, 19, 20, 23, 27, 29]",2,"[7, 22]",0.3606594785609666,0.04746164673137334,0.21785694097589212,21.06964399402044,0.5379588042413461,0.0879245484073012,0.29652073857877326,0.6028837278382598,0.06360293011013825,0.25219621351268984
0,3,10,100110010100110000000010001101,0.4725027910506987,0.3621673595625907,0.6344999969005585,11,"[0, 3, 4, 7, 9, 12, 13, 22, 26, 27, 29]",8,"[0, 3, 4, 12, 13, 26, 27, 29]",3,"[7, 9, 22]",0.2898145475509492,0.06283191820078039,0.25066295737659444,15.915477811842129,0.4012098275372302,0.11557840459839035,0.33996824057313113,0.5274972089493013,0.09990366556790911,0.3160754112042079
0,3,11,100000010110000110101011100111,0.5521702183653816,0.2987437807023525,0.7615000009536743,14,"[0, 7, 9, 10, 15, 16, 18, 20, 22, 23, 24, 27, 28, 29]",10,"[0, 10, 15, 16, 18, 20, 23, 27, 28, 29]",4,"[7, 9, 22, 24]",0.25403856858611107,0.02081463437577282,0.1442727776670735,48.04312110156253,0.33779907197699643,0.07645954360162106,0.27651318883847303,0.4478297816346184,0.06423511834966288,0.25344648024713795
0,3,12,110001010011010101110110000001,0.42894152426155674,0.4208857932438453,0.5934999883174896,14,"[0, 1, 5, 7, 10, 11, 13, 15, 17, 18, 19, 21, 22, 29]",12,"[0, 1, 5, 10, 11, 13, 15, 17, 18, 19, 21, 29]",2,"[7, 22]",0.3775496506797416,0.0336059787896089,0.18331933555849722,29.75660986577793,0.4967675330993077,0.1056304371972567,0.3250083648112102,0.5710584757384433,0.08433237228900763,0.29040036551114673
0,3,13,000000010001101111001110001100,0.3486740964143462,0.3671069683507085,0.7594999969005585,12,"[7, 11, 12, 14, 15, 16, 17, 20, 21, 22, 26, 27]",10,"[11, 12, 14, 15, 16, 17, 20, 21, 26, 27]",2,"[7, 22]",0.3255112728414436,0.05129524271794388,0.22648453085794598,19.494985246461933,0.5512752325321273,0.09960264962014037,0.3155988745546162,0.6513259035856538,0.059139404474227455,0.24318594629260026
0,3,14,110111011000110100001010001000,0.34921007729929976,0.4190677907317877,0.6554999947547913,13,"[0, 1, 3, 4, 5, 7, 8, 12, 13, 15, 20, 22, 26]",11,"[0, 1, 3, 4, 5, 8, 12, 13, 15, 20, 26]",2,"[7, 22]",0.3726777914338387,0.05161246414868429,0.22718376735296097,19.375164826837512,0.5585179157105148,0.11082306611068773,0.3329009854456543,0.6507899227007002,0.07533731830403778,0.2744764439875265
0,3,15,010111111110110000101000100010,0.34187182979385244,0.4916762908299764,0.6184999942779541,15,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 18, 20, 24, 28]",12,"[1, 3, 4, 5, 6, 8, 10, 12, 13, 18, 20, 28]",3,"[7, 9, 24]",0.42985515122612317,0.04808803664252237,0.21928984619111386,20.795192938189935,0.5371480753837897,0.10623537485510463,0.32593768553989677,0.6581281702061476,0.059341288518715944,0.24360067429856583
0,3,16,100000010110010010001000100111,0.5704560722860587,0.2860190039500594,0.6890000104904175,11,"[0, 7, 9, 10, 13, 16, 20, 24, 27, 28, 29]",8,"[0, 10, 13, 16, 20, 27, 28, 29]",3,"[7, 9, 24]",0.2578058009120551,0.014662067978810983,0.1210870264677888,68.20320308466438,0.3269122281813279,0.08318522719961911,0.2884184931650866,0.42954392771394134,0.07534969298560268,0.2744989853999513
